solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,True,,0.704,0.0,0.0,0.0,2730,144.61331176757812,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_True_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2731,144.62190437316895,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1011,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2732,144.63044810295105,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1011_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1011,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2733,144.63898873329163,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1011_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,10.853561112774313,True,5.028083583615285,1011,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2734,144.64754986763,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_10.853561112774313_True_5.028083583615285_1011_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,70.25792902789131,True,5.028083583615285,1011,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2735,144.65611028671265,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_70.25792902789131_True_5.028083583615285_1011_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,70.25792902789131,False,5.028083583615285,1011,ovr,,,2019,0,False,,0.724,0.007036367470738357,0.003750937734433607,0.010321797207043107,2736,144.66470575332642,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_70.25792902789131_False_5.028083583615285_1011_ovr_None_None_2019_0_False_None.pkl"
sag,l2,False,0.9270766294916593,70.25792902789131,False,5.028083583615285,1011,multinomial,,,2019,0,False,,0.704,0.0,0.0,0.0,2737,144.6743941307068,"./trained_models/logisticRegression_credit_9_sag_l2_False_0.9270766294916593_70.25792902789131_False_5.028083583615285_1011_multinomial_None_None_2019_0_False_None.pkl"
sag,l2,False,0.9270766294916593,70.25792902789131,False,5.028083583615285,1011,multinomial,,,2019,0,False,,0.704,0.0,0.0,0.0,2738,144.68404579162598,"./trained_models/logisticRegression_credit_9_sag_l2_False_0.9270766294916593_70.25792902789131_False_5.028083583615285_1011_multinomial_None_None_2019_0_False_None.pkl"
newton-cg,l2,False,0.2567684726584552,56.102431344967826,False,8.455749511773986,1008,ovr,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,2739,144.74534726142883,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.2567684726584552_56.102431344967826_False_8.455749511773986_1008_ovr_None_None_2019_0_True_None.pkl"
